FlowArea,File,Runtime,Operation,Table/RPC,Columns,Touches legacy tables?,Allowed?,Notes
ensure,app\api\frame\ensure\route.ts,api-route(server),READ,user_prefs,updated_at,NO,NO,
index,app\api\index-session\route.ts,api-route(server),READ,dream_session_summaries,"anchor_summary,embedding",YES,NO,
index,app\api\index-session\route.ts,api-route(server),READ,dream_sessions,"id,raw_dream_text,user_id",NO,NO,
index,app\api\index-session\route.ts,api-route(server),WRITE,dream_session_summaries,"anchor_summary,embedding,session_id,user_id",YES,NO,
index,app\api\index-session\route.ts,api-route(server),WRITE,dream_session_summaries,"anchor_summary,embedding,session_id,user_id",YES,NO,
ensure,app\api\observe\route.ts,api-route(server),WRITE,dream_observation_events,"anchor_keys,kind,payload,session_id,user_id",YES,NO,
ensure,app\api\observe\route.ts,api-route(server),READ,dream_sessions,"id,raw_dream_text,user_id",NO,NO,
ensure,app\api\observe\route.ts,api-route(server),READ,dream_observation,obs,YES,NO,
ensure,app\api\observe\route.ts,api-route(server),WRITE,dream_observation,"obs,session_id,user_id",YES,NO,
ensure,app\api\observe\route.ts,api-route(server),WRITE,dream_observation,"obs,session_id,user_id",YES,NO,
ensure,app\api\session\bootstrap\route.ts,api-route(server),READ,dream_sessions,"id,raw_dream_text",NO,NO,
ensure,app\api\session\ensure\route.ts,api-route(server),READ,dream_sessions,id,NO,NO,
ensure,app\api\session\ensure\route.ts,api-route(server),READ,dream_entries,"created_at,id,updated_at",NO,NO,
ensure,app\api\session\ensure\route.ts,api-route(server),READ,dream_answers,"created_at,id,updated_at",NO,NO,
ensure,app\api\session\ensure\route.ts,api-route(server),READ,user_prefs,updated_at,NO,NO,
new,app\api\session\submit\route.ts,api-route(server),WRITE,dream_sessions,,NO,NO,
new,app\api\session\submit\route.ts,api-route(server),WRITE,dream_entries,"content,kind,session_id,user_id",NO,NO,
new,app\api\session\submit\route.ts,api-route(server),READ,dream_entries,"created_at,id,updated_at",NO,NO,
new,app\api\session\submit\route.ts,api-route(server),READ,dream_answers,"created_at,id,updated_at",NO,NO,
new,app\api\session\submit\route.ts,api-route(server),READ,user_prefs,updated_at,NO,NO,
ensure,app\api\synthesize\route.ts,api-route(server),READ,dream_observation,obs,YES,NO,
ensure,app\api\synthesize\route.ts,api-route(server),READ,dream_sessions,raw_dream_text,NO,NO,
ensure,app\api\synthesize\route.ts,api-route(server),WRITE,dream_session_summaries,"latent_analysis,session_id,user_id",YES,NO,
ensure,app\api\synthesize\route.ts,api-route(server),WRITE,dream_observation_events,"anchor_keys,kind,payload,session_id,user_id",YES,NO,
ensure,app\api\synthesize\route.ts,api-route(server),READ,dream_session_summaries,latent_analysis,YES,NO,
work,app\api\work-block\next\route.ts,api-route(server),READ,dream_observation,obs,YES,NO,
work,app\api\work-block\next\route.ts,api-route(server),READ,dream_observation_events,"anchor_keys,created_at",YES,NO,
work,app\api\work-block\next\route.ts,api-route(server),READ,work_blocks,"content,created_at",YES,NO,
work,app\api\work-block\next\route.ts,api-route(server),READ,dream_session_summaries,"latent_analysis,latent_analysis_log",YES,NO,
work,app\api\work-block\next\route.ts,api-route(server),READ,work_question_ledger,"anchor_keys,created_at",YES,NO,
work,app\api\work-block\next\route.ts,api-route(server),WRITE,work_question_ledger,"anchor_keys,direction_slug,question_intent,question_text,session_id,user_id",YES,NO,
work,app\api\work-block\next\route.ts,api-route(server),RPC,append_latent_log_event,"{
      p_session_id",NO,NO,RPC (side effects unknown)
other,app\evening\page.tsx,client,READ,evening_card_catalog,"content,is_active,slug,sort_order,tags,title,version",YES,YES,
other,app\evening\page.tsx,client,WRITE,evening_card_usage_log,"card_slug,user_id,version",YES,YES,
other,app\evening\run\[slug]\page.tsx,client,READ,evening_card_catalog,"content,slug,title,version",YES,YES,
other,app\evening\run\[slug]\page.tsx,client,WRITE,evening_card_usage_log,"card_slug,user_id,version",YES,YES,
other,app\glossary\page.tsx,client,READ,dream_glossary_items,*,YES,NO,
other,app\glossary\page.tsx,client,READ,dream_glossary_items,*,YES,NO,
other,app\glossary\page.tsx,client,WRITE,dream_glossary_items,"categories,is_nightmare,is_suggested,name,notes",YES,NO,
other,app\glossary\page.tsx,client,WRITE,dream_glossary_items,"categories,is_nightmare,is_suggested,name,notes",YES,NO,
other,app\glossary\page.tsx,client,WRITE,dream_glossary_items,,YES,NO,delete
other,app\glossary\suggestions\page.tsx,client,READ,dream_glossary_items,*,YES,NO,
other,app\glossary\suggestions\page.tsx,client,WRITE,dream_glossary_items,"categories,is_nightmare,is_suggested,name,notes",YES,NO,
other,app\glossary\suggestions\page.tsx,client,WRITE,dream_glossary_items,,YES,NO,delete
new,app\new\NewClient.tsx,client,WRITE,dream_sessions,,NO,NO,
new,app\new\NewClient.tsx,client,WRITE,dream_entries,"content,kind,session_id,user_id",NO,NO,
other,app\session\page.tsx,client,READ,dream_sessions,"archived_at,created_at,id,raw_dream_text,status,updated_at",NO,NO,
other,app\session\[id]\page.tsx,client,READ,dream_sessions,"ai_framing_text,archived_at,created_at,id,raw_dream_text,status,updated_at",NO,NO,
other,app\session\[id]\page.tsx,client,READ,work_blocks,"block_type,content,created_at,id,session_id,updated_at,user_id",YES,NO,
other,app\session\[id]\(flow)\FlowLeftPanel.tsx,client,READ,dream_session_summaries,title,YES,NO,
other,app\session\[id]\(flow)\FlowLeftPanel.tsx,client,WRITE,dream_session_summaries,"session_id,title",YES,NO,
other,app\session\[id]\(flow)\FlowShellClient.tsx,client,READ,dream_session_summaries,title,YES,NO,
other,app\session\[id]\(flow)\FlowShellClient.tsx,client,WRITE,dream_session_summaries,"session_id,title",YES,NO,
direction,app\session\[id]\(flow)\direction\page.tsx,client,READ,session_directions,direction_slug,NO,NO,
direction,app\session\[id]\(flow)\direction\page.tsx,client,READ,dream_session_summaries,recommended_directions,YES,NO,
frame,app\session\[id]\(flow)\frame\page.tsx,client,READ,dream_sessions,"created_at,id,raw_dream_text,status,updated_at",NO,NO,
frame,app\session\[id]\(flow)\frame\page.tsx,client,READ,dream_session_summaries,"framing_text,recommended_directions,session_id,title",YES,NO,
work,app\session\[id]\(flow)\work\page.tsx,client,READ,work_versions,"created_at,id,payload,session_id,user_id",NO,NO,
work,app\session\[id]\(flow)\work\page.tsx,client,READ,dream_answers,"content,created_at,work_id",NO,NO,
work,app\session\[id]\(flow)\work\page.tsx,client,READ,work_latest,work_version_id,NO,NO,
work,app\session\[id]\(flow)\work\page.tsx,client,READ,dream_sessions,raw_dream_text,NO,NO,
work,app\session\[id]\(flow)\work\page.tsx,client,READ,work_versions,version,NO,NO,
work,app\session\[id]\(flow)\work\page.tsx,client,WRITE,work_versions,"input_hash,model,payload,session_id,user_id,version",NO,NO,
work,app\session\[id]\(flow)\work\page.tsx,client,WRITE,work_latest,"session_id,updated_at,user_id,work_version_id",NO,NO,
work,app\session\[id]\(flow)\work\page.tsx,client,WRITE,dream_answers,"content,session_id,user_id,work_id",NO,NO,
other,app\session\[id]\summary\page.tsx,client,READ,dream_sessions,"ai_framing_text,archived_at,created_at,id,raw_dream_text,status,updated_at",NO,NO,
other,app\session\[id]\summary\page.tsx,client,READ,dream_session_summaries,"framing_text,recommended_directions,title",YES,NO,
other,app\session\[id]\summary\page.tsx,client,READ,work_blocks,"block_type,content,created_at,id,session_id,updated_at,user_id",YES,NO,
other,app\session\[id]\summary\page.tsx,client,READ,session_directions,direction_slug,NO,NO,
other,app\session\[id]\summary\page.tsx,client,WRITE,dream_session_summaries,"session_id,title",YES,NO,
other,components\DreamRawPanel.tsx,client,READ,dream_sessions,"created_at,id,raw_dream_text",NO,NO,
other,components\SidebarDrawer.tsx,client,READ,dream_glossary_items,,YES,NO,
other,components\SidebarDrawer.tsx,client,READ,dream_session_summaries,,YES,NO,
other,src\db\repositories\catalogRepo.ts,server-component,READ,direction_catalog,"content,created_at,description,is_active,slug,sort_order,tags,title,updated_at,version",YES,YES,
other,src\db\repositories\catalogRepo.ts,server-component,READ,direction_catalog,slug,YES,YES,
other,src\db\repositories\eventRepo.ts,server-component,WRITE,domain_events,"payload,session_id,type,user_id",NO,NO,
other,src\db\repositories\frameRepo.ts,server-component,READ,frame_versions,version,NO,NO,
other,src\db\repositories\frameRepo.ts,server-component,READ,frame_versions,*,NO,NO,
other,src\db\repositories\frameRepo.ts,server-component,WRITE,frame_versions,"input_hash,model,payload,session_id,user_id,version",NO,NO,
other,src\db\repositories\frameRepo.ts,server-component,READ,frame_versions,*,NO,NO,
other,src\db\repositories\frameRepo.ts,server-component,WRITE,frame_latest,"frame_version_id,session_id,updated_at,user_id",NO,NO,
other,src\db\repositories\jobRepo.ts,server-component,WRITE,domain_jobs,"event_id,idempotency_key,input_hash,job_type,output_ref,session_id,status,user_id",NO,NO,
other,src\db\repositories\jobRepo.ts,server-component,READ,domain_jobs,*,NO,NO,
other,src\db\repositories\jobRepo.ts,server-component,WRITE,domain_jobs,"error,finished_at,output_ref,status",NO,NO,
other,src\db\repositories\latentRepo.ts,server-component,READ,latent_versions,version,NO,NO,
other,src\db\repositories\latentRepo.ts,server-component,READ,latent_versions,*,NO,NO,
other,src\db\repositories\latentRepo.ts,server-component,WRITE,latent_versions,"input_hash,model,payload,session_id,user_id,version",NO,NO,
other,src\db\repositories\latentRepo.ts,server-component,READ,latent_versions,*,NO,NO,
other,src\db\repositories\latentRepo.ts,server-component,WRITE,latent_latest,"latent_version_id,session_id,updated_at,user_id",NO,NO,
other,src\db\repositories\latestRepo.ts,server-component,READ,observation_latest,observation_version_id,NO,NO,
other,src\db\repositories\latestRepo.ts,server-component,READ,observation_versions,"id,payload",NO,NO,
other,src\db\repositories\latestRepo.ts,server-component,READ,session_index_latest,session_index_version_id,NO,NO,
other,src\db\repositories\latestRepo.ts,server-component,READ,session_index_versions,"embedding,id,payload",NO,NO,
other,src\db\repositories\latestRepo.ts,server-component,READ,latent_latest,latent_version_id,NO,NO,
other,src\db\repositories\latestRepo.ts,server-component,READ,latent_versions,"id,payload",NO,NO,
other,src\db\repositories\latestRepo.ts,server-component,READ,frame_latest,frame_version_id,NO,NO,
other,src\db\repositories\latestRepo.ts,server-component,READ,frame_versions,"id,payload",NO,NO,
other,src\db\repositories\materialRepo.ts,server-component,WRITE,material_snapshots,"hash,payload,session_id,user_id",NO,NO,
other,src\db\repositories\materialRepo.ts,server-component,READ,material_snapshots,*,NO,NO,
other,src\db\repositories\observationRepo.ts,server-component,READ,observation_versions,version,NO,NO,
other,src\db\repositories\observationRepo.ts,server-component,READ,observation_versions,*,NO,NO,
other,src\db\repositories\observationRepo.ts,server-component,WRITE,observation_versions,"input_hash,model,payload,session_id,user_id,version",NO,NO,
other,src\db\repositories\observationRepo.ts,server-component,READ,observation_versions,*,NO,NO,
other,src\db\repositories\observationRepo.ts,server-component,WRITE,observation_latest,"observation_version_id,session_id,updated_at,user_id",NO,NO,
other,src\db\repositories\observationRepo.ts,server-component,READ,observation_latest,observation_version_id,NO,NO,
other,src\db\repositories\observationRepo.ts,server-component,READ,observation_versions,"id,payload",NO,NO,
other,src\db\repositories\sessionIndexRepo.ts,server-component,READ,session_index_versions,version,NO,NO,
other,src\db\repositories\sessionIndexRepo.ts,server-component,READ,session_index_versions,*,NO,NO,
other,src\db\repositories\sessionIndexRepo.ts,server-component,WRITE,session_index_versions,"embedding,embedding_model,input_hash,payload,session_id,user_id,version",NO,NO,
other,src\db\repositories\sessionIndexRepo.ts,server-component,READ,session_index_versions,*,NO,NO,
other,src\db\repositories\sessionIndexRepo.ts,server-component,WRITE,session_index_latest,"session_id,session_index_version_id,updated_at,user_id",NO,NO,
archive,src\lib\archive.ts,client,READ,dream_sessions,,NO,NO,
archive,src\lib\archive.ts,client,READ,work_blocks,"content,session_id",YES,NO,
direction,src\lib\startDirection.ts,client,WRITE,session_directions,"direction_slug,session_id,source,user_id",NO,NO,
other,src\lib\dream\anchorRanking.ts,server-component,READ,dream_glossary_items,"categories,name,notes",YES,NO,
other,src\lib\dream\observationServer.ts,server-component,READ,dream_observation,session_id,YES,NO,
other,src\lib\dream\workLedger.ts,server-component,READ,work_question_ledger,"anchor_keys,answered,created_at",YES,NO,
other,src\lib\dream\workLedger.ts,server-component,WRITE,work_question_ledger,"anchor_keys,direction_slug,question_intent,question_text,session_id,user_id",YES,NO,
other,src\lib\dream\workLedger.ts,server-component,WRITE,work_question_ledger,"answer_event_id,answered",YES,NO,
other,src\orchestration\jobs\jobExtractObservation.ts,server-component,READ,dream_entries,"content,created_at",NO,NO,
other,src\orchestration\jobs\jobExtractObservation.ts,server-component,READ,user_prefs,"depth_level,pace,tone,updated_at",NO,NO,
other,src\orchestration\jobs\jobUpdateLatent.ts,server-component,READ,user_prefs,"depth_level,pace,tone,updated_at",NO,NO,
other,src\orchestration\jobs\jobUpdateLatent.ts,server-component,READ,dream_entries,"content,created_at",NO,NO,
